County,County_full,State_id,State_name,Lat,Ing
Wayne,Wayne County,MI,Michigan,42.2819,-83.2821
Oakland,Oakland County,MI,Michigan,42.6604,-83.3858
Macomb,Macomb County,MI,Michigan,42.6955,-82.9323
Kent,Kent County,MI,Michigan,43.0322,-85.5493
Genesee,Genesee County,MI,Michigan,43.0217,-83.7067
Washtenaw,Washtenaw County,MI,Michigan,42.2532,-83.8388
Ingham,Ingham County,MI,Michigan,42.5971,-84.3735
Ottawa,Ottawa County,MI,Michigan,42.9598,-85.9961
Kalamazoo,Kalamazoo County,MI,Michigan,42.2455,-85.5312
Saginaw,Saginaw County,MI,Michigan,43.335,-84.0532
Livingston,Livingston County,MI,Michigan,42.6029,-83.9115
Muskegon,Muskegon County,MI,Michigan,43.2912,-86.152
St. Clair,St. Clair County,MI,Michigan,42.9341,-82.6805
Jackson,Jackson County,MI,Michigan,42.2485,-84.4234
Berrien,Berrien County,MI,Michigan,41.9547,-86.4123
Monroe,Monroe County,MI,Michigan,41.9287,-83.5375
Calhoun,Calhoun County,MI,Michigan,42.2465,-85.0056
Allegan,Allegan County,MI,Michigan,42.5913,-85.8884
Eaton,Eaton County,MI,Michigan,42.5961,-84.8383
Bay,Bay County,MI,Michigan,43.708,-83.9916
Lenawee,Lenawee County,MI,Michigan,41.8951,-84.0664
Grand Traverse,Grand Traverse County,MI,Michigan,44.6688,-85.5605
Lapeer,Lapeer County,MI,Michigan,43.0901,-83.2218
Midland,Midland County,MI,Michigan,43.6468,-84.3881
Clinton,Clinton County,MI,Michigan,42.9437,-84.6015
Van Buren,Van Buren County,MI,Michigan,42.2513,-86.0189
Isabella,Isabella County,MI,Michigan,43.6406,-84.8468
Shiawassee,Shiawassee County,MI,Michigan,42.9537,-84.1467
Marquette,Marquette County,MI,Michigan,46.4314,-87.6416
Ionia,Ionia County,MI,Michigan,42.9451,-85.0746
Montcalm,Montcalm County,MI,Michigan,43.311,-85.1525
St. Joseph,St. Joseph County,MI,Michigan,41.9144,-85.5278
Barry,Barry County,MI,Michigan,42.595,-85.309
Tuscola,Tuscola County,MI,Michigan,43.4645,-83.4169
Cass,Cass County,MI,Michigan,41.9154,-85.9935
Newaygo,Newaygo County,MI,Michigan,43.5542,-85.8009
Hillsdale,Hillsdale County,MI,Michigan,41.8878,-84.5929
Branch,Branch County,MI,Michigan,41.9161,-85.059
Mecosta,Mecosta County,MI,Michigan,43.6408,-85.3246
Sanilac,Sanilac County,MI,Michigan,43.4236,-82.8201
Gratiot,Gratiot County,MI,Michigan,43.2927,-84.6049
Chippewa,Chippewa County,MI,Michigan,46.3053,-84.5777
Houghton,Houghton County,MI,Michigan,46.8978,-88.6874
Delta,Delta County,MI,Michigan,45.9191,-86.9242
Wexford,Wexford County,MI,Michigan,44.3383,-85.5784
Emmet,Emmet County,MI,Michigan,45.521,-84.8908
Huron,Huron County,MI,Michigan,43.8334,-83.0232
Clare,Clare County,MI,Michigan,43.9879,-84.8478
Mason,Mason County,MI,Michigan,43.9952,-86.25
Alpena,Alpena County,MI,Michigan,45.0349,-83.6258
Oceana,Oceana County,MI,Michigan,43.6409,-86.2676
Charlevoix,Charlevoix County,MI,Michigan,45.3022,-85.1263
Dickinson,Dickinson County,MI,Michigan,46.0091,-87.8702
Cheboygan,Cheboygan County,MI,Michigan,45.4465,-84.4999
Gladwin,Gladwin County,MI,Michigan,43.9907,-84.3883
Iosco,Iosco County,MI,Michigan,44.3558,-83.6359
Otsego,Otsego County,MI,Michigan,45.0214,-84.599
Manistee,Manistee County,MI,Michigan,44.333,-86.0568
Roscommon,Roscommon County,MI,Michigan,44.3356,-84.6116
Osceola,Osceola County,MI,Michigan,43.9898,-85.3253
Antrim,Antrim County,MI,Michigan,44.9991,-85.1402
Menominee,Menominee County,MI,Michigan,45.58,-87.5566
Leelanau,Leelanau County,MI,Michigan,44.9386,-85.8118
Ogemaw,Ogemaw County,MI,Michigan,44.335,-84.1264
Benzie,Benzie County,MI,Michigan,44.6387,-86.0155
Kalkaska,Kalkaska County,MI,Michigan,44.6847,-85.0902
Arenac,Arenac County,MI,Michigan,44.0647,-83.894
Gogebic,Gogebic County,MI,Michigan,46.4089,-89.6944
Missaukee,Missaukee County,MI,Michigan,44.3374,-85.0947
Crawford,Crawford County,MI,Michigan,44.6837,-84.6103
Presque Isle,Presque Isle County,MI,Michigan,45.3402,-83.9176
Lake,Lake County,MI,Michigan,43.9901,-85.8016
Iron,Iron County,MI,Michigan,46.2087,-88.5305
Mackinac,Mackinac County,MI,Michigan,46.0802,-85.0868
Alcona,Alcona County,MI,Michigan,44.6854,-83.5937
Montmorency,Montmorency County,MI,Michigan,45.0276,-84.1272
Alger,Alger County,MI,Michigan,46.4086,-86.604
Baraga,Baraga County,MI,Michigan,46.6626,-88.3652
Oscoda,Oscoda County,MI,Michigan,44.6818,-84.1298
Schoolcraft,Schoolcraft County,MI,Michigan,46.1966,-86.1997
Luce,Luce County,MI,Michigan,46.4707,-85.5444
Ontonagon,Ontonagon County,MI,Michigan,46.6645,-89.3149
Keweenaw,Keweenaw County,MI,Michigan,47.6279,-88.4346